performance_key,fund_key,date_key,return_1m,return_3m,return_1y,return_3y,return_5y,expense_ratio,volatility,sharpe_ratio,anomaly_flag,source_file
1,1,20260624,1.5359,2.0732,-1.3447,-1.9382,-7.3176,1.0,8.6946,-0.6762,0,performance_analytics
2,2,20260624,2.2401,7.5076,-0.2188,11.727,8.3494,1.0,15.3066,0.6315,0,performance_analytics
3,3,20260624,0.9704,1.8707,6.2686,7.3854,6.5622,1.0,0.5389,0.3499,0,performance_analytics
4,4,20260624,1.2364,5.665,0.5035,15.4764,16.2704,1.0,16.6829,0.5734,0,performance_analytics
5,5,20260624,5.9442,16.899,5.4409,14.5715,15.4984,1.0,15.2002,1.1176,0,performance_analytics
6,6,20260624,0.2466,14.2462,2.9901,17.7101,18.0124,1.0,15.4158,0.6909,0,performance_analytics
