aum_key,fund_key,date_key,aum_value,observation_count,min_nav,max_nav,proxy_method,source_file
1,4,20260624,101.0387,3315,12.2191,106.1272,latest_nav,nav_118632_20260625.csv
2,3,20260624,6204.477,3582,23.992,6204.477,latest_nav,nav_119092_20260625.csv
3,1,20260624,106.1268,3253,102.2299,161.3775,latest_nav,nav_119551_20260625.csv
4,2,20260624,108.2944,3323,13.6318,113.6849,latest_nav,nav_120503_20260625.csv
5,6,20260624,249.8412,3318,30.5643,281.1083,latest_nav,nav_120841_20260625.csv
6,5,20260624,205.0655,3108,12.7775,214.6767,latest_nav,nav_125497_20260625.csv
