scheme_name,max_drawdown_pct,drawdown_start,drawdown_end
Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,-36.6517,2021-01-08,2024-12-20
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,-33.5099,2020-02-12,2020-03-23
HDFC Money Market Fund - Growth Option - Direct Plan,-1.3924,2020-03-11,2020-03-24
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,-39.9608,2019-05-27,2020-03-23
SBI Small Cap Fund - Direct Plan - Growth,-40.2601,2018-01-08,2020-03-24
quant Mid Cap Fund - Growth Option - Direct Plan,-33.4299,2020-01-29,2020-03-23
