scheme_name,scheme_category,aum_value
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,101.0387
HDFC Money Market Fund - Growth Option - Direct Plan,Debt Scheme - Money Market Fund,6204.477
Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,106.1268
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Equity Scheme - ELSS,108.2944
quant Mid Cap Fund - Growth Option - Direct Plan,Equity Scheme - Mid Cap Fund,249.8412
SBI Small Cap Fund - Direct Plan - Growth,Equity Scheme - Small Cap Fund,205.0655
