scheme_name,fund_house,amfi_code,scheme_category,sharpe_ratio
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,125497,Equity Scheme - Small Cap Fund,1.117642
quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,120841,Equity Scheme - Mid Cap Fund,0.690926
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,120503,Equity Scheme - ELSS,0.631468
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,118632,Equity Scheme - Large Cap Fund,0.573381
HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,119092,Debt Scheme - Money Market Fund,0.349906
Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,119551,Debt Scheme - Banking and PSU Fund,-0.676158
