scheme_name,Alpha_ann,Beta,R2
HDFC Money Market Fund - Growth Option - Direct Plan,0.065051,0.0068,0.0136
SBI Small Cap Fund - Direct Plan - Growth,0.043404,1.3633,0.7714
quant Mid Cap Fund - Growth Option - Direct Plan,-0.013039,1.4027,0.768
Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,-0.013703,0.1591,0.0317
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,-0.029736,1.4659,0.8495
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,-0.048862,1.6134,0.8684
