scheme_name,cagr_1y,cagr_3y,cagr_5y
Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,-1.6306,-1.6808,-7.0755
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,0.1322,11.7497,9.3356
HDFC Money Market Fund - Growth Option - Direct Plan,6.4386,7.7144,6.7391
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,1.6969,16.281,17.9232
SBI Small Cap Fund - Direct Plan - Growth,6.4793,15.0767,16.0692
quant Mid Cap Fund - Growth Option - Direct Plan,2.5227,19.3415,19.1417
