rank,scheme_name,return_3y,sharpe_ratio,sortino_ratio,alpha,volatility,max_drawdown,expense_ratio,composite_score
1,quant Mid Cap Fund - Growth Option - Direct Plan,19.341474584033058,0.6223090853788326,0.7318699254256595,6.3647,14.739113911461876,-33.42987466611875,1.0,71.5
2,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,16.28098251655161,0.5115510976923692,0.6274347722009396,7.2376,15.933794288930022,-39.96075381332732,1.0,69.5
3,SBI Small Cap Fund - Direct Plan - Growth,15.076662769849868,1.0394558775960197,1.249394137058674,5.9669,14.610974353772093,-40.26012761687717,1.0,68.5
4,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,11.749712313974992,0.5655194788174076,0.6976633030100882,-1.5845,14.637400334575865,-33.50989236904665,1.0,42.5
5,HDFC Money Market Fund - Growth Option - Direct Plan,7.714379109085012,0.16266163516454638,0.2954606193402498,6.8203,0.5372971627346607,-1.3923580128646473,1.0,34.5
6,Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,-1.6808006522094021,-0.8783139192333171,-0.6575948733440008,-2.5501,6.882293523155313,-36.651701755201316,1.0,13.5
