scheme_code,scheme_name,fund_house,total_entries,latest_nav,latest_date,min_nav,max_nav
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,3108,13.0894,18-11-2013,12.7775,214.6767
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,3253,103.0059,02-01-2013,102.2299,161.3775
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,3324,15.0253,02-01-2013,0.0,113.6849
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,3315,14.6967,02-01-2013,12.2191,106.1272
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,3582,23.992,31-12-2012,23.992,6204.477
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,3318,30.6076,07-01-2013,30.5643,281.1083
