Scheme,Full Name,95% VaR Daily,95% CVaR Daily,VaR Annualized
Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - DIRECT - IDCW,-0.0935,-0.7043,-1.48
Axis ELSS Tax Saver Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,-1.4005,-2.1947,-22.23
HDFC Money Market Fund,HDFC Money Market Fund - Growth Option - Direct Plan,0.0025,-0.0213,0.04
Nippon India Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,-1.5557,-2.3873,-24.7
SBI Small Cap Fund,SBI Small Cap Fund - Direct Plan - Growth,-1.4619,-2.2584,-23.21
quant Mid Cap Fund,quant Mid Cap Fund - Growth Option - Direct Plan,-1.3872,-2.299,-22.02
